Wavelength 	 Reflection 	 Transmisson 	 Absorption 
3.369999 	 4132654810.383572 	 3027273528.997235 	 -7159928338.380806 
3.400000 	 284662927.102735 	 208631685.040532 	 -493294611.143267 
3.429998 	 150832704.140370 	 110624867.729409 	 -261457570.869779 
3.460000 	 30380821.443960 	 22291955.748689 	 -52672776.192649 
3.489999 	 8735357.909969 	 6409901.054145 	 -15145257.964114 
3.519999 	 2707635.345297 	 1986285.466941 	 -4693919.812238 
3.550002 	 869218.408113 	 637164.479068 	 -1506381.887181 
3.579999 	 264535.375452 	 193623.758334 	 -458158.133786 
3.610000 	 87200.748660 	 63704.323302 	 -150904.071962 
3.639999 	 29311.345775 	 21430.305250 	 -50740.651024 
3.669999 	 10011.023249 	 7409.615161 	 -17419.638411 
3.699999 	 3566.067246 	 2717.979407 	 -6283.046652 
3.729998 	 1281.946476 	 988.273162 	 -2269.219638 
3.760002 	 476.595589 	 334.112036 	 -809.707625 
3.789999 	 188.281089 	 117.978887 	 -305.259976 
3.820002 	 75.099747 	 62.874785 	 -136.974533 
3.849999 	 27.338749 	 28.055352 	 -54.394101 
3.879999 	 11.681187 	 4.142437 	 -14.823625 
3.910002 	 5.836528 	 5.782579 	 -10.619108 
3.940002 	 1.666800 	 3.770843 	 -4.437643 
3.969997 	 1.121669 	 0.129319 	 -0.250988 
4.000000 	 0.474280 	 2.340287 	 -1.814568 
4.029999 	 0.148191 	 0.477174 	 0.374635 
4.060001 	 0.192041 	 1.382368 	 -0.574409 
4.090002 	 0.020469 	 0.776830 	 0.202700 
4.120002 	 0.086611 	 1.140369 	 -0.226980 
4.149998 	 0.021468 	 0.842539 	 0.135993 
4.180002 	 0.041813 	 1.081266 	 -0.123079 
4.210000 	 0.034685 	 0.888007 	 0.077309 
4.240001 	 0.022162 	 1.016426 	 -0.038588 
4.270001 	 0.037060 	 0.961870 	 0.001069 
4.300003 	 0.022906 	 0.953038 	 0.024056 
4.329998 	 0.026644 	 0.994154 	 -0.020798 
4.360002 	 0.028746 	 0.963500 	 0.007754 
4.390002 	 0.023384 	 0.965416 	 0.011200 
4.420000 	 0.023828 	 0.982037 	 -0.005866 
4.450002 	 0.024984 	 0.974985 	 0.000031 
4.479999 	 0.023165 	 0.969278 	 0.007556 
4.510003 	 0.021673 	 0.974672 	 0.003656 
4.540000 	 0.021547 	 0.978673 	 -0.000220 
4.570001 	 0.021381 	 0.977365 	 0.001254 
4.599999 	 0.020609 	 0.975585 	 0.003806 
4.630001 	 0.019669 	 0.976039 	 0.004292 
4.659999 	 0.018924 	 0.977679 	 0.003397 
4.689999 	 0.018366 	 0.979031 	 0.002603 
4.720002 	 0.017852 	 0.979648 	 0.002500 
4.750000 	 0.017300 	 0.979838 	 0.002863 
4.780000 	 0.016703 	 0.979986 	 0.003311 
4.809997 	 0.016088 	 0.980249 	 0.003663 
4.839998 	 0.015476 	 0.980643 	 0.003881 
4.870003 	 0.014878 	 0.981114 	 0.004009 
4.899999 	 0.014294 	 0.981580 	 0.004126 
4.930002 	 0.013723 	 0.982057 	 0.004220 
